,0,1
0,0.287187,0.0
1,3.54187,0.0
2,9.61719,0.0
3,17.3962,0.0
4,26.3137,1.9
5,34.0938,4.71344
6,42.8819,7.65344
7,51.7209,6.60625
8,57.2872,0.96875
9,61.2516,-8.68406
10,65.0231,-18.7522
11,68.4922,-27.9044
12,70.6281,-38.6909
13,74.4684,-47.7434
14,80.0819,-51.7169
15,86.1241,-55.2741
16,94.8988,-59.6575
17,104.2,-65.9037
18,111.445,-73.5997
19,116.432,-81.7141
20,123.196,-89.5697
21,130.357,-91.4803
22,137.222,-89.2659
23,145.983,-85.6419
24,155.235,-82.8438
25,166.055,-82.4075
26,172.9,-86.8191
27,177.442,-93.2337
28,183.582,-101.875
29,191.202,-112.587
30,199.411,-122.596
31,208.932,-126.226
32,217.031,-126.281
33,226.937,-126.329
34,239.612,-126.377
35,253.159,-126.426
36,266.959,-126.474
37,279.729,-126.523
38,289.864,-126.752
39,295.517,-129.475
40,298.577,-132.64
41,303.431,-136.878
42,312.554,-138.511
43,323.959,-134.682
44,337.131,-129.423
45,349.256,-124.581
46,358.963,-121.677
47,366.094,-122.619
48,374.127,-123.902
49,385.137,-125.658
50,398.607,-127.805
51,413.244,-130.136
52,426.54,-132.253
53,437.217,-133.954
54,446.899,-136.595
55,452.667,-142.938
56,456.05,-149.496
57,460.426,-157.977
58,464.856,-166.358
59,470.148,-170.711
